codigo_animal,id_coleta,peso,escore_condicao_corporal
5603,1,329,3
5604,1,300,3
5600,1,297,4
5601,1,250,4
5611,1,209,3
5616,1,245,3
5038,1,165,3
5628,1,255,3
5606,1,290,4
5609,1,299,4
5021,1,210,3
5638,1,208,3
5617,1,250,3
5022,1,182,3
5039,1,159,3
5623,1,241,3
5028,1,200,3
5602,1,287,3
5015,1,255,3
5610,1,190,3
5607,1,268,3
5614,1,237,3
5024,1,175,3
5630,1,250,3
5603,2,340,3
5604,2,309,3
5600,2,300,3
5601,2,257,3
5611,2,215,3
5616,2,263,3
5038,2,179,3
5628,2,192,3
5606,2,290,3
5609,2,287,3
5021,2,201,3
5638,2,211,3
5617,2,254,3
5022,2,190,3
5039,2,164,3
5623,2,204,3
5028,2,273,3
5602,2,282,3
5015,2,256,3
5610,2,193,3
5607,2,277,3
5614,2,248,3
5024,2,185,3
5630,2,245,3
